,sound_name,sound_type,audio_file_path
0,pulmonary_hypertension,T,app/static/audio/heart/pulmonary_hypertension/T/combined_audio.wav
1,pulmonary_hypertension,A,app/static/audio/heart/pulmonary_hypertension/A/combined_audio.wav
2,pulmonary_hypertension,M,app/static/audio/heart/pulmonary_hypertension/M/combined_audio.wav
3,pulmonary_hypertension,E,app/static/audio/heart/pulmonary_hypertension/E/combined_audio.wav
4,pulmonary_hypertension,P,app/static/audio/heart/pulmonary_hypertension/P/combined_audio.wav
5,patent_ductus_arteriosus,T,app/static/audio/heart/patent_ductus_arteriosus/T/combined_audio.wav
6,patent_ductus_arteriosus,A,app/static/audio/heart/patent_ductus_arteriosus/A/combined_audio.wav
7,patent_ductus_arteriosus,M,app/static/audio/heart/patent_ductus_arteriosus/M/combined_audio.wav
8,patent_ductus_arteriosus,E,app/static/audio/heart/patent_ductus_arteriosus/E/combined_audio.wav
9,patent_ductus_arteriosus,P,app/static/audio/heart/patent_ductus_arteriosus/P/combined_audio.wav
10,tetralogy_of_fallot,T,app/static/audio/heart/tetralogy_of_fallot/T/combined_audio.wav
11,tetralogy_of_fallot,A,app/static/audio/heart/tetralogy_of_fallot/A/combined_audio.wav
12,tetralogy_of_fallot,M,app/static/audio/heart/tetralogy_of_fallot/M/combined_audio.wav
13,tetralogy_of_fallot,E,app/static/audio/heart/tetralogy_of_fallot/E/combined_audio.wav
14,tetralogy_of_fallot,P,app/static/audio/heart/tetralogy_of_fallot/P/combined_audio.wav
15,hypertrophic_cardiomyopathy,T,app/static/audio/heart/hypertrophic_cardiomyopathy/T/combined_audio.wav
16,hypertrophic_cardiomyopathy,A,app/static/audio/heart/hypertrophic_cardiomyopathy/A/combined_audio.wav
17,hypertrophic_cardiomyopathy,M,app/static/audio/heart/hypertrophic_cardiomyopathy/M/combined_audio.wav
18,hypertrophic_cardiomyopathy,E,app/static/audio/heart/hypertrophic_cardiomyopathy/E/combined_audio.wav
19,hypertrophic_cardiomyopathy,P,app/static/audio/heart/hypertrophic_cardiomyopathy/P/combined_audio.wav
20,congestive_heart_failure,T,app/static/audio/heart/congestive_heart_failure/T/combined_audio.wav
21,congestive_heart_failure,A,app/static/audio/heart/congestive_heart_failure/A/combined_audio.wav
22,congestive_heart_failure,M,app/static/audio/heart/congestive_heart_failure/M/combined_audio.wav
23,congestive_heart_failure,E,app/static/audio/heart/congestive_heart_failure/E/combined_audio.wav
24,congestive_heart_failure,P,app/static/audio/heart/congestive_heart_failure/P/combined_audio.wav
25,holosystolic_murmur,T,app/static/audio/heart/holosystolic_murmur/T/combined_audio.wav
26,holosystolic_murmur,A,app/static/audio/heart/holosystolic_murmur/A/combined_audio.wav
27,holosystolic_murmur,M,app/static/audio/heart/holosystolic_murmur/M/combined_audio.wav
28,holosystolic_murmur,E,app/static/audio/heart/holosystolic_murmur/E/combined_audio.wav
29,holosystolic_murmur,P,app/static/audio/heart/holosystolic_murmur/P/combined_audio.wav
30,mitral_stenosis_and_regurgitation,T,app/static/audio/heart/mitral_stenosis_and_regurgitation/T/combined_audio.wav
31,mitral_stenosis_and_regurgitation,A,app/static/audio/heart/mitral_stenosis_and_regurgitation/A/combined_audio.wav
32,mitral_stenosis_and_regurgitation,M,app/static/audio/heart/mitral_stenosis_and_regurgitation/M/combined_audio.wav
33,mitral_stenosis_and_regurgitation,E,app/static/audio/heart/mitral_stenosis_and_regurgitation/E/combined_audio.wav
34,mitral_stenosis_and_regurgitation,P,app/static/audio/heart/mitral_stenosis_and_regurgitation/P/combined_audio.wav
35,tricuspid_valve_regurgitation,T,app/static/audio/heart/tricuspid_valve_regurgitation/T/combined_audio.wav
36,tricuspid_valve_regurgitation,A,app/static/audio/heart/tricuspid_valve_regurgitation/A/combined_audio.wav
37,tricuspid_valve_regurgitation,M,app/static/audio/heart/tricuspid_valve_regurgitation/M/combined_audio.wav
38,tricuspid_valve_regurgitation,E,app/static/audio/heart/tricuspid_valve_regurgitation/E/combined_audio.wav
39,tricuspid_valve_regurgitation,P,app/static/audio/heart/tricuspid_valve_regurgitation/P/combined_audio.wav
40,mitral_valve_stenosis,T,app/static/audio/heart/mitral_valve_stenosis/T/combined_audio.wav
41,mitral_valve_stenosis,A,app/static/audio/heart/mitral_valve_stenosis/A/combined_audio.wav
42,mitral_valve_stenosis,M,app/static/audio/heart/mitral_valve_stenosis/M/combined_audio.wav
43,mitral_valve_stenosis,E,app/static/audio/heart/mitral_valve_stenosis/E/combined_audio.wav
44,mitral_valve_stenosis,P,app/static/audio/heart/mitral_valve_stenosis/P/combined_audio.wav
45,normal_heart,T,app/static/audio/heart/normal_heart/T/combined_audio.wav
46,normal_heart,A,app/static/audio/heart/normal_heart/A/combined_audio.wav
47,normal_heart,M,app/static/audio/heart/normal_heart/M/combined_audio.wav
48,normal_heart,E,app/static/audio/heart/normal_heart/E/combined_audio.wav
49,normal_heart,P,app/static/audio/heart/normal_heart/P/combined_audio.wav
50,opening_snap,T,app/static/audio/heart/opening_snap/T/combined_audio.wav
51,opening_snap,A,app/static/audio/heart/opening_snap/A/combined_audio.wav
52,opening_snap,M,app/static/audio/heart/opening_snap/M/combined_audio.wav
53,opening_snap,E,app/static/audio/heart/opening_snap/E/combined_audio.wav
54,opening_snap,P,app/static/audio/heart/opening_snap/P/combined_audio.wav
55,pulmonary_valve_regurgitation,T,app/static/audio/heart/pulmonary_valve_regurgitation/T/combined_audio.wav
56,pulmonary_valve_regurgitation,A,app/static/audio/heart/pulmonary_valve_regurgitation/A/combined_audio.wav
57,pulmonary_valve_regurgitation,M,app/static/audio/heart/pulmonary_valve_regurgitation/M/combined_audio.wav
58,pulmonary_valve_regurgitation,E,app/static/audio/heart/pulmonary_valve_regurgitation/E/combined_audio.wav
59,pulmonary_valve_regurgitation,P,app/static/audio/heart/pulmonary_valve_regurgitation/P/combined_audio.wav
60,stills_murmur,T,app/static/audio/heart/stills_murmur/T/combined_audio.wav
61,stills_murmur,A,app/static/audio/heart/stills_murmur/A/combined_audio.wav
62,stills_murmur,M,app/static/audio/heart/stills_murmur/M/combined_audio.wav
63,stills_murmur,E,app/static/audio/heart/stills_murmur/E/combined_audio.wav
64,stills_murmur,P,app/static/audio/heart/stills_murmur/P/combined_audio.wav
65,mitral_stenosis_and_tricuspid_regurgitation,T,app/static/audio/heart/mitral_stenosis_and_tricuspid_regurgitation/T/combined_audio.wav
66,mitral_stenosis_and_tricuspid_regurgitation,A,app/static/audio/heart/mitral_stenosis_and_tricuspid_regurgitation/A/combined_audio.wav
67,mitral_stenosis_and_tricuspid_regurgitation,M,app/static/audio/heart/mitral_stenosis_and_tricuspid_regurgitation/M/combined_audio.wav
68,mitral_stenosis_and_tricuspid_regurgitation,E,app/static/audio/heart/mitral_stenosis_and_tricuspid_regurgitation/E/combined_audio.wav
69,mitral_stenosis_and_tricuspid_regurgitation,P,app/static/audio/heart/mitral_stenosis_and_tricuspid_regurgitation/P/combined_audio.wav
70,ventricular_septal_defect,T,app/static/audio/heart/ventricular_septal_defect/T/combined_audio.wav
71,ventricular_septal_defect,A,app/static/audio/heart/ventricular_septal_defect/A/combined_audio.wav
72,ventricular_septal_defect,M,app/static/audio/heart/ventricular_septal_defect/M/combined_audio.wav
73,ventricular_septal_defect,E,app/static/audio/heart/ventricular_septal_defect/E/combined_audio.wav
74,ventricular_septal_defect,P,app/static/audio/heart/ventricular_septal_defect/P/combined_audio.wav
75,acute_pericarditis,T,app/static/audio/heart/acute_pericarditis/T/combined_audio.wav
76,acute_pericarditis,A,app/static/audio/heart/acute_pericarditis/A/combined_audio.wav
77,acute_pericarditis,M,app/static/audio/heart/acute_pericarditis/M/combined_audio.wav
78,acute_pericarditis,E,app/static/audio/heart/acute_pericarditis/E/combined_audio.wav
79,acute_pericarditis,P,app/static/audio/heart/acute_pericarditis/P/combined_audio.wav
80,fourth_heart_sound_gallop,T,app/static/audio/heart/fourth_heart_sound_gallop/T/combined_audio.wav
81,fourth_heart_sound_gallop,A,app/static/audio/heart/fourth_heart_sound_gallop/A/combined_audio.wav
82,fourth_heart_sound_gallop,M,app/static/audio/heart/fourth_heart_sound_gallop/M/combined_audio.wav
83,fourth_heart_sound_gallop,E,app/static/audio/heart/fourth_heart_sound_gallop/E/combined_audio.wav
84,fourth_heart_sound_gallop,P,app/static/audio/heart/fourth_heart_sound_gallop/P/combined_audio.wav
85,pericardial_rub,T,app/static/audio/heart/pericardial_rub/T/combined_audio.wav
86,pericardial_rub,A,app/static/audio/heart/pericardial_rub/A/combined_audio.wav
87,pericardial_rub,M,app/static/audio/heart/pericardial_rub/M/combined_audio.wav
88,pericardial_rub,E,app/static/audio/heart/pericardial_rub/E/combined_audio.wav
89,pericardial_rub,P,app/static/audio/heart/pericardial_rub/P/combined_audio.wav
90,systemic_hypertension,T,app/static/audio/heart/systemic_hypertension/T/combined_audio.wav
91,systemic_hypertension,A,app/static/audio/heart/systemic_hypertension/A/combined_audio.wav
92,systemic_hypertension,M,app/static/audio/heart/systemic_hypertension/M/combined_audio.wav
93,systemic_hypertension,E,app/static/audio/heart/systemic_hypertension/E/combined_audio.wav
94,systemic_hypertension,P,app/static/audio/heart/systemic_hypertension/P/combined_audio.wav
95,early_systolic_murmur,T,app/static/audio/heart/early_systolic_murmur/T/combined_audio.wav
96,early_systolic_murmur,A,app/static/audio/heart/early_systolic_murmur/A/combined_audio.wav
97,early_systolic_murmur,M,app/static/audio/heart/early_systolic_murmur/M/combined_audio.wav
98,early_systolic_murmur,E,app/static/audio/heart/early_systolic_murmur/E/combined_audio.wav
99,early_systolic_murmur,P,app/static/audio/heart/early_systolic_murmur/P/combined_audio.wav
